        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout
      2088.0    -6.711474   497.425294   430.344239  1058.338524     0.592334   176.661697    78.154627    98.507070    72.289852    74.604783     0.885342   288.477773   283.259072   196.673294     5.615535
      2089.0    -4.194359   494.931654   430.106481  1057.775904     0.608302   181.043319    82.022013    99.021305    74.536929    73.974309     0.872211   288.499877   283.372132   196.262756     8.285462
      2090.0    -5.203632   491.954174   430.705301  1058.005937     0.551276   177.720136    79.734925    97.985211    72.195281    72.425314     0.827780   288.318050   283.110710   195.772766     6.710791
      2091.0    -4.448952   489.158780   431.828555  1057.624115     0.533048   181.566303    81.054614   100.511689    73.132400    72.750578     0.797744   288.306906   283.022331   195.082840     7.180782
      2092.0    -5.603158   486.150501   432.562231  1058.074329     0.280388   183.851957    82.292986   101.558970    75.003156    75.453370     0.785194   288.386566   283.125979   194.667023     6.105940
      2093.0    -7.098125   483.695946   431.011227  1058.639146     0.460576   173.230910    76.155757    97.075153    71.564438    72.129255     0.769219   288.524906   283.332956   194.684174     5.577506
      2094.0    -4.675053   481.648845   428.966927  1058.670672     0.539509   174.429427    78.718039    95.711388    72.680520    72.712045     0.755359   288.514267   283.418938   194.071838     8.050293
      2095.0    -3.622658   479.294087   430.281641  1057.082614     0.455895   179.039463    81.966260    97.073204    74.310044    72.721986     0.746483   288.371269   283.184850   193.261780     7.929560
      2096.0    -5.505025   476.181646   432.572551  1056.667252     0.232469   182.439242    81.794869   100.644373    74.240336    73.824975     0.743024   288.327541   283.098507   193.196518     5.678985
      2097.0    -6.275429   473.696819   431.596052  1057.270120     0.250578   175.332020    78.153258    97.178761    72.472032    73.074900     0.733255   288.408825   283.183422   192.783768     6.054858
      2098.0    -6.687747   471.700846   429.172463  1057.611750     0.313451   169.594883    75.755387    93.839496    71.810474    72.152103     0.722064   288.503838   283.485728   192.235413     6.026872
      2099.0    -2.620760   469.464414   430.330523  1055.697882     0.285135   180.210618    82.450313    97.760305    73.937583    72.023715     0.714099   288.140593   282.843094   191.698410     9.268539
      2100.0    -5.125895   466.089388   433.360590  1055.692684    -0.060403   183.203378    82.272803   100.930574    73.726897    73.721699     0.417799   288.139571   282.832946   189.621643     5.521036
      2101.0    -4.939149   463.118667   434.546721  1056.221324    -0.020196   179.793885    80.643656    99.150228    73.146628    73.675268     0.214626   288.154343   282.805327   186.373764     5.782258
      2102.0    -6.667312   460.375007   434.307901  1056.818514    -0.106964   171.074550    76.977835    94.096715    71.597377    72.194567     0.162551   288.273257   282.855639   183.999115     5.022088
      2103.0    -6.304146   457.791326   433.992839  1056.958237     0.037497   172.228788    76.912883    95.315905    71.747359    71.887082     0.132030   288.393667   283.159402   181.992630     5.340863
      2104.0    -6.165738   455.872725   432.732142  1056.090755     0.065920   170.183423    76.701442    93.481981    72.902546    72.035064     0.109057   288.506767   283.383003   180.640091     5.927075
      2105.0    -2.654387   453.386494   434.932328  1054.180073     0.070896   176.087386    80.275696    95.811690    71.752777    69.842095     0.090296   288.281626   283.043432   178.985962     8.233416
      2106.0    -5.039557   450.218634   437.255458  1054.420535    -0.109036   175.886502    80.275040    95.611462    72.584886    72.825348     0.075575   288.120435   282.827417   177.766251     5.126562
      2107.0    -6.333161   447.150133   437.731123  1055.652248    -0.166030   174.299203    78.308393    95.990810    71.909995    73.141708     0.063795   288.172449   282.861106   176.993408     4.691020
      2108.0    -6.064375   444.737127   437.054900  1055.845206    -0.227832   170.828414    77.524054    93.304359    72.311697    72.504654     0.054489   288.343966   283.110066   176.451553     5.695623
      2109.0    -4.492950   442.447458   437.028879  1055.163647    -0.119758   169.276386    77.674938    91.601448    71.371952    70.690393     0.046749   288.142369   282.840767   175.232559     7.010565
      2110.0    -5.938943   439.633542   438.691686  1054.828419    -0.353205   173.376149    78.993542    94.382606    72.817651    72.482423     0.040646   288.188108   282.863168   175.128510     4.848312
      2111.0    -6.710475   437.430766   438.439784  1054.313842    -0.141768   167.056150    75.191895    91.864255    71.315539    70.800962     0.035718   288.357265   283.182727   174.912781     4.642835
      2112.0    -4.815234   435.538410   437.653968  1053.235789    -0.021934   167.593246    75.825462    91.767784    70.807261    69.729209     0.031808   288.420310   283.258671   174.335419     6.882069
      2113.0    -5.948637   433.229027   436.873343  1053.776665    -0.008236   165.785588    75.104217    90.681370    70.375442    70.916318     0.028470   288.372885   283.144378   174.236328     4.968524
      2114.0    -3.821513   430.994957   436.661245  1053.578940    -0.208426   170.209983    78.469126    91.740857    71.554660    71.356936     0.025818   288.274768   283.081914   174.007431     7.324289
      2115.0    -4.515212   428.402709   438.341530  1052.920720    -0.352105   170.467130    78.107000    92.360131    71.012835    70.354614     0.023638   288.090391   282.735009   174.141800     6.072100
      2116.0    -6.716227   425.714241   439.185107  1053.198541    -0.502291   169.127606    76.910175    92.217431    71.570482    71.848303     0.021892   288.095684   282.841023   174.188477     4.218296
      2117.0    -5.995148   423.716125   437.753018  1053.555386    -0.426579   164.496061    74.898086    89.597976    70.323224    70.680069     0.020329   288.154312   282.982733   173.753220     5.650106
      2118.0    -5.327276   421.666253   437.330363  1053.000508    -0.286843   165.619215    75.239706    90.379509    70.086232    69.531354     0.019069   288.081383   282.862269   173.063354     6.131007
      2119.0    -4.756916   419.506581   437.169885  1052.676948    -0.339541   165.271305    75.561146    89.710159    69.718918    69.395358     0.018001   287.992622   282.638862   172.859863     6.326266
      2120.0    -5.966466   417.275395   436.571300  1053.169413    -0.453071   164.466337    75.087850    89.378487    69.955796    70.448261     0.017134   288.089051   282.787965   172.960800     5.238174
      2121.0    -4.763281   415.342042   436.511954  1052.281486    -0.487215   163.904640    75.696010    88.208630    70.260857    69.372930     0.016298   287.949356   282.615487   172.750626     6.382426
      2122.0    -6.289289   413.184065   436.141604  1052.458241    -0.658030   162.106789    74.049370    88.057419    69.362461    69.539216     0.015609   288.023547   282.788756   172.417969     4.880504
      2123.0    -4.982163   411.286176   436.341247  1051.573383    -0.656697   163.995982    75.649732    88.346250    70.389358    69.504500     0.015002   287.972175   282.642896   171.971024     5.945589
      2124.0    -5.062096   409.185840   437.064518  1050.878479    -0.567582   164.156628    75.206674    88.949954    69.620399    68.925496     0.014499   287.838374   282.481490   171.718597     5.557907
      2125.0    -5.663309   407.241395   435.894159  1051.263383    -0.540990   160.803007    73.422293    87.380714    68.847843    69.232746     0.013971   287.883257   282.528120   171.203308     5.359906
      2126.0    -5.778310   405.282040   434.983328  1051.568467    -0.549660   162.284002    74.134646    88.149356    69.568450    69.873533     0.013527   288.035771   282.743744   171.621017     5.171944
      2127.0    -5.744227   403.699948   433.498232  1051.106646    -0.381588   157.193534    72.551413    84.642121    68.940016    68.478195     0.013118   288.027350   282.738172   171.441742     5.558313
      2128.0    -5.005084   401.964615   433.679994  1049.800316    -0.553775   159.726567    73.815785    85.910781    68.957939    67.651609     0.012775   287.912841   282.644600   170.630081     5.982414
      2129.0    -5.616323   400.214443   433.227179  1049.218170    -0.628882   159.267350    73.262010    86.005340    69.120225    68.538079     0.012386   287.940909   282.696883   170.438431     5.176747
      2130.0    -5.279942   398.494422   432.726316  1048.664512    -0.600665   159.207624    72.908603    86.299022    68.325511    67.771854     0.012054   287.865174   282.484731   170.376724     5.637611
