        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout
      1888.0     0.134106   291.231147   402.200810   968.070720     0.343374   120.026420    61.681558    58.344862    59.072696    58.671899     0.802898   286.655552   280.817566    64.247772     3.759872
      1889.0    -1.297238   291.579769   401.328311   967.436856     0.448273   116.454989    59.665529    56.789460    58.737137    58.103273     0.798186   286.851737   281.132420    64.462959     2.434756
      1890.0    -0.803936   291.926393   399.930145   966.200628     0.425112   113.919015    58.222632    55.696383    56.646962    55.410734     0.790209   286.826246   281.118815    64.408691     4.210064
      1891.0     1.583612   292.281192   399.714605   965.678158     0.439162   118.416425    61.354752    57.061673    57.367432    56.844962     0.787140   286.586945   280.866682    64.761795     4.725330
      1892.0     1.810050   292.627355   400.333682   965.603244     0.572281   120.263944    62.412198    57.851746    58.476643    58.401729     0.791835   286.528236   280.796753    65.060875     3.391393
      1893.0     0.136218   292.942355   399.921441   965.767733     0.572109   119.624735    61.415416    58.209319    59.058722    59.223211     0.793464   286.728569   281.006623    65.588051     2.604445
      1894.0     1.804195   293.252062   399.651408   965.553476     0.347448   121.813493    62.982415    58.831079    58.789754    58.575496     0.792440   286.624442   280.735549    66.220985     4.676951
      1895.0     1.713264   293.542520   400.359892   965.405172     0.408507   123.407874    63.735215    59.672659    59.464389    59.316085     0.793619   286.678185   280.994478    66.749382     3.710647
      1896.0    -0.342905   293.827629   399.631731   966.335693     0.435917   120.023124    61.173806    58.849318    58.907201    59.837721     0.796714   286.741889   280.874638    67.096931     2.064246
      1897.0    -0.619265   294.112135   398.501933   965.661997     0.320512   120.083273    61.189497    58.893777    59.181329    58.507633     0.791782   286.847849   281.188956    67.468384     3.811661
      1898.0     0.615246   294.420914   397.870359   965.107783     0.418200   120.136090    61.648479    58.487610    58.643483    58.089268     0.793476   286.669369   280.959349    67.938660     4.190785
      1899.0     2.406906   294.765148   398.213256   965.146389     0.505066   124.134964    64.223622    59.911342    59.588071    59.626678     0.794888   286.605518   280.902607    68.672829     4.254047
      1900.0     2.052173   295.130506   398.813449   965.222089     0.479426   123.516168    63.695371    59.820797    59.197319    59.273018     0.832022   286.611469   280.848975    69.589722     3.822160
      1901.0     0.576519   295.465527   398.708428   965.729221     0.679685   121.777647    62.331793    59.445854    59.332384    59.839515     0.858128   286.740298   281.019814    70.625908     2.597298
      1902.0     0.495404   295.786061   397.573274   965.623162     0.555747   120.258227    61.721918    58.536309    58.733463    58.627405     0.863710   286.735376   280.986416    71.400856     4.229668
      1903.0     1.902167   296.109485   397.007698   965.991971     0.758778   118.954296    61.848738    57.105559    57.792418    58.161227     0.866277   286.452380   280.405264    72.049408     4.253087
      1904.0     0.356964   296.416939   396.623515   966.434792     0.650552   118.951182    61.228565    57.722617    58.527586    58.970407     0.870062   286.649029   280.812381    72.911049     2.642341
      1905.0     0.489566   296.751677   394.679929   967.145647     0.522053   121.159571    62.166627    58.992944    59.139145    59.850000     0.868503   286.804964   281.187280    73.829666     4.260213
      1906.0     1.636602   297.127093   394.368243   967.192032     0.445426   123.781946    63.968250    59.813696    59.893476    59.939862     0.872427   286.692981   280.931366    74.913254     4.340074
      1907.0     1.748594   297.552462   394.971308   967.003191     0.482597   122.713978    63.379207    59.334771    59.237461    59.048619     0.882228   286.652080   280.874163    75.858719     3.727523
      1908.0     2.309243   297.973437   395.508362   966.819670     0.516277   123.618533    64.068515    59.550018    59.279335    59.095814     0.889705   286.595753   280.723065    76.718674     4.435647
      1909.0     1.872957   298.393799   395.697999   967.681242     0.532185   123.912695    63.975492    59.937202    59.627607    60.489179     0.893057   286.537465   280.693801    77.714676     3.296676
      1910.0     0.465993   298.832489   394.704154   968.240889     0.468004   121.244608    62.262150    58.982458    59.272310    59.831957     0.871302   286.690034   280.842126    78.275711     3.424039
      1911.0     0.289657   299.291253   394.161687   967.540405     0.377062   120.516476    61.900300    58.616176    58.989444    58.288960     0.857979   286.754966   280.956991    78.313034     4.153807
