        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout
      1908.0     1.008396   295.441475   392.904163   957.275379     0.235123   122.481113    63.166254    59.314860    58.864702    58.838173     0.889929   286.618838   280.743085    75.948730     4.202575
      1909.0     0.190594   295.502076   392.297539   958.305928     0.237622   120.491769    62.148932    58.342838    58.613880    59.644429     0.890852   286.541041   280.589335    76.754852     3.111127
      1910.0     0.050462   295.934417   391.167317   958.534400     0.385921   121.834440    62.258720    59.575720    59.685693    59.914165     0.870836   286.752954   280.981982    77.488579     3.474777
      1911.0     0.693608   296.404023   390.493767   958.278446     0.509381   122.213746    62.242126    59.971620    59.249815    58.993861     0.857701   286.771722   280.866078    78.260040     3.921815
      1912.0     1.094878   296.872814   390.152742   957.867079     0.462820   121.778180    62.548238    59.229942    59.036547    58.625180     0.859101   286.645949   280.759562    78.857597     4.264083
      1913.0     0.368093   297.231348   389.737141   957.865692     0.569486   119.205895    61.110877    58.095018    58.312819    58.311433     0.859272   286.658204   280.846797    79.339638     3.215045
      1914.0     0.682032   297.854248   388.419322   957.796751     0.653802   119.403927    60.957246    58.446681    58.536412    58.467471     0.860170   286.761138   280.960160    79.650139     3.807595
      1915.0     1.095551   298.559562   387.555808   957.050630     0.740209   119.315974    60.783457    58.532517    58.043017    57.296896     0.859248   286.814288   280.984509    80.216064     4.350075
      1916.0     1.183251   299.017060   387.771574   956.212270     0.659748   120.060789    61.881043    58.179747    58.592857    57.754497     0.863146   286.805179   281.073627    80.550117     3.910780
      1917.0     1.387419   299.288386   387.902114   955.855249     0.712406   123.565021    63.434138    60.130883    59.533249    59.176228     0.869117   286.836361   281.050866    81.283546     4.127370
      1918.0    -0.100103   299.562733   387.153595   956.456574     0.392127   120.615187    60.926391    59.688796    58.003619    58.604944     0.873373   286.951481   281.274639    82.265594     3.069966
      1919.0     1.554282   300.205096   385.710356   956.732686     0.521963   121.813284    62.458105    59.355179    58.839147    59.115259     0.874974   286.843891   281.141730    82.975250     4.786085
      1920.0     0.545078   300.498801   385.589877   956.428641     0.618228   120.126184    61.456636    58.669548    58.275871    57.971827     0.902952   286.771736   280.974202    83.743576     3.605288
      1921.0     0.965920   301.028256   384.979390   956.135043     0.470076   120.846630    61.738243    59.108387    58.321028    58.027430     0.921543   286.860810   281.078517    84.674377     4.321300
      1922.0     2.724530   301.064855   385.593761   956.119878     0.574015   125.588659    64.969603    60.619056    58.930392    58.915227     0.933398   286.622396   280.742422    85.570930     5.440004
      1923.0    -0.909305   300.910787   385.745183   956.923050     0.467622   121.974350    62.146306    59.828043    59.094268    59.897439     0.944866   286.782524   280.993436    86.533394     2.097445
      1924.0    -0.012830   301.688310   384.128521   956.639923     0.582173   119.816798    60.852274    58.964525    59.021350    58.738224     0.943734   286.964909   281.349467    87.187553     3.730711
      1925.0     2.362306   302.368451   383.529990   955.767886     0.655973   122.735370    63.071000    59.664370    58.871989    57.999952     0.941828   286.750060   280.952464    87.705803     5.669580
      1926.0     1.446293   302.383924   384.257187   955.927500     0.524801   123.701735    63.571062    60.130673    58.640351    58.799966     0.953072   286.737026   280.901072    88.684441     4.043899
      1927.0     0.724041   302.641214   383.614640   956.548791     0.376096   122.686668    62.436886    60.249782    58.445508    59.066799     0.959769   286.772152   280.943642    89.586037     4.012634
      1928.0     0.883552   302.916075   383.468453   956.780977     0.395695   125.034479    63.822062    61.212417    59.656476    59.888662     0.965858   286.850671   281.016185    90.502968     4.079587
      1929.0     1.655146   303.118183   383.354504   957.097347     0.533295   125.866231    64.382217    61.484014    59.493798    59.810168     0.969439   286.847712   281.173491    91.406769     4.685998
      1930.0    -0.643181   303.526040   382.895723   956.818801     0.778408   123.224821    62.167949    61.056871    60.248882    59.970335     0.965573   287.005631   281.377814    91.890625     2.656395
      1931.0     1.786341   304.127546   382.033429   956.279737     0.808912   123.563912    62.614687    60.949225    58.810437    58.271374     0.961815   287.000668   281.406419    92.282013     5.205607
      1932.0     0.942263   304.514179   381.008608   956.781240     0.742363   123.892773    63.123376    60.769397    59.493710    59.995212     0.967955   286.858280   281.308114    93.086311     4.152984
      1933.0     1.943626   304.699155   380.790830   957.098353     0.663241   125.063717    64.279167    60.784550    59.252761    59.569874     0.969980   286.655115   280.810890    93.767357     4.927071
      1934.0     0.780054   304.778566   380.760457   957.468216     0.592436   125.931484    64.242328    61.689156    59.987096    60.356959     0.977013   286.789144   281.089493    94.316711     3.915742
